"Bill of Material for "
"On 2019/6/22 at 19:59:50"

"Comment","Pattern","Quantity","Components"

"74LS244","SOP20_M","1","Z1","SOP-20"
"BTN7971B","BTN7971B","4","B1, B2, B3, B4",""
"Cap Chip 0805","C0805","5","C1, C2, C3, C4, C8","Polarized Capacitor (Radial)"
"Cap Pol3","C3216","2","C6, C9","Polarized Capacitor (Surface Mount)"
"Cap Pol3","C6032","2","C7, C10","Polarized Capacitor (Surface Mount)"
"Cap Pol3","CAPPR5-8X11.5","1","C5","Polarized Capacitor (Surface Mount)"
"Header 2","2PIN-5.08B","3","P2, P3, P4","Header, 2-Pin"
"Header 6","HDR1X6","1","P1","Header, 6-Pin"
"LED2","C1206","1","D1","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"Res3","R0805","17","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17","Resistor"
"SW-SPST","SW-TO3","1","S1","Single-Pole, Single-Throw Switch"
